Baseline (mV),Mem Tau Min (ms),Mem Tau Deltav (ms),Baseline Stability,Threshold (ms),Threshold (mV),HW Left (ms),HW Right (ms),HW (mV),FW Left (ms),FW Right (ms),FW (mV),AUC,AUC Left,AUC Right,Min Velocity (ms),Min Velocity,Max Velocity (ms),Max Velocity,AHP (ms),AHP (mV),Spike (ms),Spike (mV),Rheobase (pA),HW (ms),FW (ms),Sag (mV),Sag (ms),FI Midpoint,FI Slope,FI Max Gain,FI Max Current,Delta V (mV) Membrane Resistance,AUC Vscale,AUC Offset,Max Freq (Hz),Resting Potential (mV),Capacitance (pF),cell_type
-72.79634135397558,80.625,61.3125,0.3043654566202369,396.55,-40.4622744383384,396.8954074902513,397.9135910691066,-0.2670298598287228,396.55,399.5675,-40.4622744383384,911.8683251982108,167.0004656247738,744.8683481449518,397.4,-6.23125334194064,396.85,32.66887645339814,439.5,-58.47374104432081,397.1,39.93571913710905,181.25,1.018183578855286,3.017499999999984,-1.399413964161315,3874.5,227.5461490664088,25.65837064027826,0.03867263196684245,227.6276276276276,97.52126889099694,87.03202480503828,949.0275931919047,12.85714285714286,-67.0,113.6,Pyramidal
-73.58796249961495,91.1875,68.3125,0.3151760035760673,422.425,-40.63490827488792,422.7724425389542,423.8816615843535,0.1572287906347505,422.425,425.7875,-40.63490827488792,1017.389726935993,207.3213449950869,810.0720582719282,423.325,-5.655807656507348,422.725,32.72642151649239,467.275,-56.52544428397226,423.025,40.95507964220448,143.75,1.109219045399314,3.362500000000011,-1.817611137509036,3963.25,206.2224565888034,38.10662625203723,0.04419310539019783,206.3063063063063,126.6625336120574,107.4754809250771,1096.631133227587,21.42857142857143,-67.0,104.8,Pyramidal
-72.70997055007008,95.625,61.1875,0.3367430636146984,435.3,-41.47341549206085,435.6398939644868,436.7394140976284,-0.1308826354220365,435.3,439.5275,-41.47341549206085,1063.422135243253,217.5547395732436,845.8635171746229,436.2,-5.812000036076753,435.6,31.66595590454742,507.425,-57.75032284132556,435.9,41.21814041572971,156.25,1.099520133141596,4.227499999999978,-1.805910786021428,3771.0,222.4339116830363,39.63702572899349,0.03032140281591866,222.5225225225225,91.73605740801418,84.29712291410222,1200.183661194625,14.64285714285714,-69.4,91.7,Pyramidal
-73.38637100205852,145.625,118.375,0.5306480404902428,513.95,-38.55508160709053,514.3215244520802,515.7254993322284,0.5648619578576799,513.95,517.9325,-38.55508160709054,1217.544166271393,198.7267256688146,1018.818704419298,514.925,-4.307620862255227,514.25,27.89267961817629,569.45,-55.29234510385137,514.575,39.6973203025898,87.5,1.403974880148184,3.982500000000016,-2.237761260596642,4344.25,154.338388829742,38.93717317498401,0.0442486781443181,154.3543543543544,190.0006896557945,135.7506390297361,1402.615915613731,23.57142857142857,-67.1,96.7,Pyramidal
-73.25803544483885,95.375,63.25,0.4150736648883044,412.1,-39.69775316558105,412.4623408840749,413.511631204483,1.916561666084418,412.1,415.0925,-39.69775316558105,958.1588298214958,220.4517632502514,737.7116193655874,413.05,-6.066840194351858,412.425,30.40819543795947,552.0,-57.33928975779412,412.725,43.53636344762998,143.75,1.049290320408105,2.992500000000007,-2.845558375849578,3904.25,207.4446121194986,34.87639605400138,0.03500634423210958,207.5075075075075,105.6920760525506,27.7854613209016,1097.28506213909,16.07142857142857,-68.0,76.0,Pyramidal
-72.52362754420953,58.375,33.29166666666666,0.1977706844739227,381.45,-38.28379987654852,381.8096344482717,382.8714500353919,1.709715280871906,381.45,384.36,-38.28379987654852,920.097229097711,217.1155019985929,702.9838156723812,382.4833333333333,-6.329901345476176,381.75,28.18040042976366,438.3666666666666,-55.84312941326849,382.0833333333333,41.70863908127119,195.8333333333333,1.061815587120293,2.910000000000006,-2.004980080541012,3655.666666666667,248.3900052629239,27.2361923425017,0.03105249591185633,248.3483483483483,91.12805185852226,24.02949679617146,1008.195942052314,10.0,-63.4,78.6,Pyramidal
-72.216992055944,65.625,45.8125,0.2253110488731094,391.075,-36.53279962071753,391.4154687195384,392.4834250130407,2.257219442560682,391.075,394.6,-36.53279962071753,944.7495271518834,166.540735278362,778.2036065236001,392.0,-5.581821951575743,391.375,29.88207361161572,468.675,-53.84550874941274,391.625,41.05372743008358,212.5,1.067956293502334,3.525000000000006,-1.565788447027661,3717.25,290.8635790668467,33.47132895036965,0.03618719687945493,290.8408408408408,83.5465025712245,34.92841333874162,1141.131953998841,8.571428571428571,-68.0,91.7,Pyramidal
-72.98871463409196,185.8125,160.8125,1.160397689976888,468.95,-36.89450859880593,469.3276443755576,470.6884649274823,-1.939394982455902,468.95,472.205,-36.89450859880593,997.2361256769293,207.299859879104,789.9468372277756,469.925,-4.324062427560073,469.275,23.18224383219759,508.55,-62.6005133802835,469.625,33.02215280939915,62.5,1.360820551924704,3.255000000000024,-2.965235377914318,4432.75,147.6844917311268,48.98519220354178,0.03699881360101109,147.7477477477478,269.246761993832,78.50865262596491,1095.688204884577,24.28571428571429,-65.3,81.6,Pyramidal
-71.76803849512216,94.0625,66.375,0.6235697521717002,575.8,-37.19867295793763,576.1707367846316,577.2197694134175,1.691506361615625,575.8,578.895,-37.19867295793763,905.2557643102158,178.4958249817072,726.76776004679,576.725,-6.009295752564148,576.1,30.39175822597699,622.8,-56.47612030589572,576.4,40.59337107620698,168.75,1.049032628785781,3.094999999999999,-1.722033122228282,3786.0,277.9250653673546,52.27003373194308,0.03976981185890427,277.8778778778779,92.39218130333603,60.20637334925483,887.7499408720869,13.57142857142857,-64.2,109.6,Pyramidal
-73.00392121576942,91.39583333333333,45.08333333333334,0.5675558101590998,513.275,-40.7417768430274,513.5988708033321,514.5197171368915,1.41946673965505,513.275,516.1475,-40.7417768430274,874.7208393566385,172.1073665245152,702.6165425535349,514.1,-7.02043570892714,513.575,34.78158055449555,573.9,-59.64929569577541,513.8,43.59390798979794,156.25,0.9208463335592825,2.872499999999988,-2.020406415066503,3723.25,241.4224838306872,43.17462969987786,0.03305354836719765,241.4414414414414,86.5551725133256,5.87505825689922,862.0281075132712,15.35714285714286,-67.7,111.7,Pyramidal
